unix,open,high,low,close,Volume ETH
1596412800,372.86,379.93,366.66,378.25,152246.829
1596416400,378.31,384.89,378.26,380.18,131718.657
1596420000,380.1,386.29,380,383.94,85861.749
1596423600,383.94,385.22,378.52,380.09,87618.079
1596427200,380.17,383.4,380.08,381.54,54667.309
1596430800,381.57,385.15,379.64,385.05,60223.28
1596434400,385.06,387.3,382.73,384.45,89259.933
1596438000,384.44,387.77,383.18,385.05,79210.511
1596441600,385.03,386.6,382.07,382.09,82114.679
1596445200,382.09,385,380.59,380.87,74411.568
1596448800,380.85,386.26,380.73,385.95,68513.986
1596452400,386.02,393.28,384.05,391.52,241158.419
1596456000,391.56,392,387.22,390.01,141653.951
1596459600,389.95,395.6,389.53,393.7,168184.984
1596463200,393.62,398.47,391.91,394.59,240903.63
1596466800,394.59,397.37,388.16,394.18,222218.794
1596470400,394.15,398.59,389.5,390.9,258594.728
1596474000,390.91,396.99,389.17,395.4,117877.037
1596477600,395.44,396.5,392.85,395.52,58319.436
1596481200,395.53,395.55,391.2,394.04,87302.701
1596484800,394.05,395.16,389.53,390.97,80834.043
1596488400,390.97,393.5,380.66,384.66,141822.262
1596492000,384.45,390.84,380,383.91,171592.97
1596495600,383.91,387.4,380.02,386.2,124601.368
1596499200,386.19,403.88,386.15,400.88,291420.437
1596502800,400.87,401.93,397.28,398.32,131507.862
1596506400,398.33,400.27,392.09,393.81,138117.615
1596510000,393.79,395.7,387,391.65,166359.043
1596513600,391.53,394.92,388.8,394.04,114737.529
1596517200,394.04,395.25,390.77,393.34,75953.894
1596520800,393.33,393.62,389.21,391.37,61602.032
1596524400,391.38,396.24,390.97,395.21,86054.568
1596528000,395.15,397.9,391.41,391.9,120249.802
1596531600,391.92,393.38,391.03,392.71,60421.682
1596535200,392.69,395.2,390.15,391.49,87116.998
1596538800,391.5,394.7,380.66,386.22,269746.338
1596542400,386.24,389.46,384.49,388.58,130989.032
1596546000,388.58,388.75,381.19,384.55,208273.532
1596549600,384.58,390.8,384.53,389.97,115213.468
1596553200,389.98,392.19,388.03,390.57,112238.623
1596556800,390.67,393.45,385.8,387.17,126339.095
1596560400,387.18,390.73,386.55,390.28,64516.714
1596564000,390.27,391.21,387.01,387.91,51891.056
1596567600,387.93,389.44,385.65,387.15,48534.806
1596571200,387.16,391,387.12,388.4,53378.188
1596574800,388.41,393.21,387.52,391.99,50803.218
1596578400,391.95,393.5,390.63,393.4,59171.55
1596582000,393.49,394.51,388,390.1,77516.182
1596585600,390.02,392.56,385.81,388.93,91205.426
1596589200,388.94,389.3,384.31,388.96,77725.4
1596592800,388.96,389.5,386.58,388.21,50558.76
1596596400,388.21,390.2,387.69,389.89,41961.065
1596600000,389.85,391,388,388.9,45236.462
1596603600,388.92,392,387.57,391.95,43114.887
1596607200,391.97,394.5,390.76,390.77,99590.58
1596610800,390.77,392.58,389.83,390.53,48027.759
1596614400,390.58,392.5,389.5,391,53219.057
1596618000,391.03,394.5,390.84,393.73,71898.646
1596621600,393.76,394.18,391.74,393.19,56643.351
1596625200,393.18,398.5,393.14,398.07,149043.006
1596628800,398.03,400.94,395.8,399.68,170243.658
1596632400,399.69,402.11,397.72,399.58,148206.533
1596636000,399.58,400,390.37,394.92,191743.926
1596639600,394.9,397.5,393.3,395.49,95310.448
1596643200,395.49,403,394.15,396.85,185487.659
1596646800,396.81,398.59,395.21,397.88,56099.45
1596650400,397.88,399.32,396.86,397.97,36930.798
1596654000,398,401,397.95,399.14,67427.401
1596657600,399.14,401.88,398.2,400.65,46050.644
1596661200,400.65,407.88,399.8,405.9,155717.418
1596664800,405.92,406.05,386,397.18,305302.329
1596668400,397.18,402.5,396.95,400.95,91445.8
1596672000,400.94,404.25,398.51,399.85,120586.941
1596675600,399.8,399.82,396.64,398,66031.666
1596679200,397.99,398.2,395.09,398.15,57335.903
1596682800,398.11,398.15,395.19,395.72,43280.342
1596686400,395.72,395.99,392.68,394.6,88824.911
1596690000,394.57,396.4,393.17,395.05,56502.382
1596693600,395.1,397.58,394.61,397.25,49397.882
1596697200,397.2,397.5,394.75,395.26,36905.456
1596700800,395.25,398.14,394.75,397.89,56107.646
1596704400,397.85,398.44,396.42,396.99,42756.15
1596708000,396.97,397.04,393.67,394.1,58140.597
1596711600,394.13,396.33,393.69,394.95,44096.293
1596715200,394.99,397.83,394.67,397.17,52078.004
1596718800,397.12,400.3,396.02,399.86,105007.083
1596722400,399.89,400.12,395,396.99,109691.96
1596726000,396.91,401.66,396.89,399.77,121695.07
1596729600,399.78,400.85,397.2,398.93,91306.136
1596733200,398.94,399.45,395.66,397.44,71580.959
1596736800,397.44,397.84,395.01,397.44,53257.867
1596740400,397.44,399,396.56,397.32,54968.843
1596744000,397.31,398.72,395.4,396.83,51773.366
1596747600,396.83,398,392.15,395.69,69371.191
1596751200,395.62,396.5,393.3,394.84,62997
1596754800,394.82,395.54,390.6,395.09,79611.902
1596758400,395.1,396.74,394.15,395.4,55464.776
1596762000,395.4,398.86,395.28,397.56,62943.888
1596765600,397.45,398.66,396.14,396.79,52209.987
1596769200,396.78,397.99,395.7,395.91,36436.815
1596772800,395.92,396.66,394.38,396.21,60217.17
1596776400,396.09,396.33,393.63,394.86,47002.812
1596780000,394.85,396.1,394,395.26,37065.767
1596783600,395.26,395.38,393.61,394.64,42700.988
1596787200,394.64,396.81,392.58,396,79965.11
1596790800,396.03,397.99,395.3,396.38,53317.459
1596794400,396.39,397.01,394.75,395.3,36923.429
1596798000,395.3,395.37,393.35,394.53,66008.35
1596801600,394.54,395.7,392.16,395.07,83413.656
1596805200,395,395.98,392.96,394.45,45047.806
1596808800,394.46,394.58,371,384.94,412189.803
1596812400,384.95,388.03,384.1,385.75,86362.754
1596816000,385.78,387.38,379.14,379.33,136723.189
1596819600,379.33,380,361.27,373.83,542418.879
1596823200,373.8,374.37,365,373.53,256505.261
1596826800,373.55,377.08,372.53,374.71,104941.559
1596830400,374.65,380,373.29,377.7,107806.206
1596834000,377.71,379.96,376.34,379.51,55206.203
1596837600,379.6,383.36,378.18,380.35,75551.597
1596841200,380.36,383.17,378.67,379.63,55387.958
1596844800,379.62,380.8,376.11,379.55,66126.936
1596848400,379.61,382.99,379.6,381.63,46506.901
1596852000,381.61,382.7,378.21,380.87,35599.359
1596855600,380.84,380.85,377.16,378.36,39919.071
1596859200,378.28,379.92,377.47,377.58,36441.391
1596862800,377.58,381.49,377.5,380.77,43084.978
1596866400,380.76,381.44,380,380.64,22364.474
1596870000,380.65,381.93,380.01,380.35,31265.691
1596873600,380.35,380.96,378.32,379.15,46261.15
1596877200,379.18,386.6,379.15,386.24,97485.058
1596880800,386.26,389,384.51,387.56,87930.232
1596884400,387.66,392.65,387.64,392,99169.606
